slot,draw_player_name,matched_player_id,matched_player_name,match_method,rank,rank_points,surface_elo,score_surface_elo
1,Jannik Sinner,S0AG,Jannik Sinner,name,1.0,14750.0,1789.493449340932,1797.4862572681552
2,Miomir Kecmanovic,KI95,Miomir Kecmanovic,name,50.0,980.0,1497.9917129788066,1495.283842717292
3,Nuno Borges,BT72,Nuno Borges,name,54.0,945.0,1477.7393310637,1481.277578678801
4,Tristan Boyer,B0EJ,Tristan Boyer,name,113.0,546.0,1500.0,1500.0
5,Aleksandar Vukic,V832,Aleksandar Vukic,name,96.0,626.0,1503.4868912332777,1502.4238436544895
6,Jenson Brooksby,B0CD,Jenson Brooksby,name,73.0,817.0,1543.9591662886064,1540.8810648039205
7,Emilio Nava,N0AM,Emilio Nava,name,94.0,631.0,1485.7149975974417,1485.2325056581278
8,Ignacio Buse,B0ID,Ignacio Buse,name,35.0,1316.0,1507.3152883085631,1502.3159212228657
9,Rafael Jodar,J0DZ,Rafael Jodar,name,29.0,1461.0,1500.0,1500.0
10,Felix Gill,UNKNOWN_SLOT_10,Felix Gill,unknown_default,,,1500.0,1500.0
11,Denis Shapovalov,SU55,Denis Shapovalov,name,41.0,1130.0,1521.8505504736545,1522.7095321522852
12,Pablo Carreno Busta,CD85,Pablo Carreno Busta,name,89.0,685.0,1447.9738812004323,1442.0392487288564
13,Shintaro Mochizuki,M0HU,Shintaro Mochizuki,name,117.0,525.0,1461.566111577913,1458.0676065950818
14,Max Basing,UNKNOWN_SLOT_14,Max Basing,unknown_default,,,1500.0,1500.0
15,Ethan Quinn,Q02L,Ethan Quinn,name,66.0,854.0,1516.3242524239279,1516.770840169022
16,Luciano Darderi,D0FJ,Luciano Darderi,name,17.0,2260.0,1475.7637141897676,1478.7895889168433
17,Casper Ruud,RH16,Casper Ruud,name,16.0,2275.0,1485.5385922633914,1489.3761093384016
18,Hubert Hurkacz,HB71,Hubert Hurkacz,name,103.0,615.0,1627.5547189656356,1638.65217404321
19,Hamad Medjedovic,M0JF,Hamad Medjedovic,name,67.0,844.0,1499.454753522005,1503.2818541469114
20,Sebastian Ofner,O513,Sebastian Ofner,name,112.0,558.0,1522.6385045164723,1521.8092053691496
21,Soonwoo Kwon,KF17,Soonwoo Kwon,name,343.0,142.0,1489.7394840625288,1486.9791612276588
22,Martin Landaluce,L0IL,Martin Landaluce,name,55.0,936.0,1493.1979366346286,1494.7034425802096
23,Alexandre Muller,MP20,Alexandre Muller,name,127.0,494.0,1484.784201420349,1484.619511945408
24,Tommy Paul,PL56,Tommy Paul,name,28.0,1645.0,1667.0262000363225,1682.2106951567234
25,Brandon Nakashima,N0AE,Brandon Nakashima,name,32.0,1385.0,1616.0460903863777,1629.6289245963442
26,Jack Pinnington Jones,P0HT,Jack Pinnington Jones,name,147.0,409.0,1467.0539830597556,1467.928482899627
27,Jan-Lennard Struff,SL28,Jan-Lennard Struff,name,77.0,779.0,1580.2167963283885,1581.9745360202417
28,Sebastian Baez,B0BI,Sebastian Baez,name,64.0,860.0,1439.5309812390208,1439.142686509149
29,Camilo Ugo Carabelli,U182,Camilo Ugo Carabelli,name,59.0,890.0,1459.5247231565372,1457.832070609509
30,Daniel Merida,M0N7,Daniel Merida,name,86.0,696.0,1500.0,1500.0
31,Marin Cilic,C977,Marin Cilic,name,46.0,1036.0,1737.208609637076,1740.1737147459444
32,Daniil Medvedev,MM58,Daniil Medvedev,name,7.0,3810.0,1701.172687839431,1706.4843907708148
33,Felix Auger-Aliassime,AG37,Felix Auger-Aliassime,name,4.0,4390.0,1597.3066904403197,1606.4439746289136
34,Alexander Shevchenko,S0H2,Alexander Shevchenko,player_id,88.0,689.0,1460.011903795847,1455.0544564396205
35,Adam Walton,W09E,Adam Walton,name,97.0,614.0,1475.9404938393666,1476.1700118778297
36,Dino Prizmic,P0HW,Dino Prizmic,name,72.0,785.0,1500.0,1500.0
37,Adolfo Daniel Vallejo,V0DP,Adolfo Daniel Vallejo,name,71.0,786.0,1500.0,1500.0
38,Nicolas Mejia,M0AW,Nicolas Mejia,name,177.0,341.0,1500.0,1500.0
39,Michael Zheng,Z0BZ,Michael Zheng,name,146.0,414.0,1500.0,1500.0
40,Cameron Norrie,N771,Cameron Norrie,name,29.0,1595.0,1594.0799244611258,1595.379135600297
41,Alejandro Davidovich Fokina,,Alejandro Davidovich Fokina,name,17.0,2260.0,1500.0,1500.0
42,Juan Manuel Cerundolo,C0C8,Juan Manuel Cerundolo,name,56.0,935.0,1486.4536160510654,1483.5273154651795
43,Thiago Agustin Tirante,T0A1,Thiago Agustin Tirante,name,60.0,887.0,1500.0,1500.0
44,Fabian Marozsan,M0CI,Fabian Marozsan,name,61.0,895.0,1450.9079551617729,1445.0651431262597
45,Luca Van Assche,V0DZ,Luca Van Assche,name,100.0,599.0,1469.6759793417123,1464.7807431353904
46,Marton Fucsovics,F724,Marton Fucsovics,name,76.0,781.0,1578.9929310144425,1567.1137540873926
47,Dalibor Svrcina,S0GD,Dalibor Svrcina,name,116.0,547.0,1500.0,1500.0
48,Learner Tien,T0HA,Learner Tien,name,19.0,2270.0,1516.9284986519328,1516.2405100584617
49,Andrey Rublev,RE44,Andrey Rublev,name,13.0,2460.0,1624.547146771499,1626.7722126736244
50,Roman Safiullin,SX50,Roman Safiullin,name,135.0,460.0,1480.8706717428618,1489.3207314691122
51,Aleksandar Kovacevic,K0AZ,Aleksandar Kovacevic,name,68.0,837.0,1444.5323690024936,1440.9650369543033
52,Botic Van de Zandschulp,V812,Botic Van De Zandschulp,name,56.0,935.0,1503.2599841681194,1502.3455956136597
53,Jesper De Jong,D0C1,Jesper de Jong,name,106.0,580.0,1461.912130822148,1462.8524731503153
54,Rinky Hijikata,H0BH,Rinky Hijikata,name,104.0,605.0,1506.925059201432,1505.3938729079014
55,Roberto Bautista Agut,BD06,Roberto Bautista Agut,name,116.0,542.0,1638.540447026057,1647.8285950565687
56,Joao Fonseca,F0FV,Joao Fonseca,name,25.0,1735.0,1484.8869732666556,1485.7863061593591
57,Arthur Rinderknech,RC91,Arthur Rinderknech,name,24.0,1776.0,1501.7457974084898,1501.1189164841285
58,Oliver Tarvet,T0GR,Oliver Tarvet,name,733.0,36.0,1511.7471051603193,1511.3435904390249
59,Marco Trungelliti,TA29,Marco Trungelliti,name,81.0,731.0,1483.2135290997053,1484.9012784527724
60,Martin Damm Jr,UNKNOWN_SLOT_60,Martin Damm Jr,unknown_default,,,1500.0,1500.0
61,Hugo Gaston,G09O,Hugo Gaston,name,118.0,533.0,1486.3990478337091,1487.9257847599101
62,Stefanos Tsitsipas,TE51,Stefanos Tsitsipas,name,79.0,740.0,1552.1936900668318,1551.9484146974764
63,Yibing Wu,WB32,Yibing Wu,name,101.0,626.0,1455.5565979782978,1460.4678077016072
