slot,player_name,seed,entry_status,draw_name
1,Jannik Sinner,1,,J. Sinner (1)
2,Miomir Kecmanovic,,,M. Kecmanovic
3,Nuno Borges,,,N. Borges
4,Tristan Boyer,,Q,T. Boyer (Q)
5,Aleksandar Vukic,,,A. Vukic
6,Jenson Brooksby,,,J. Brooksby
7,Emilio Nava,,,E. Nava
8,Ignacio Buse,31,,I. Buse (31)
9,Rafael Jodar,23,,R. Jodar (23)
10,Felix Gill,,WC,F. Gill (WC)
11,Denis Shapovalov,,,D. Shapovalov
12,Pablo Carreno Busta,,,P. Carreno Busta
13,Shintaro Mochizuki,,Q,S. Mochizuki (Q)
14,Max Basing,,Q,M. Basing (Q)
15,Ethan Quinn,,,E. Quinn
16,Luciano Darderi,14,,L. Darderi (14)
17,Casper Ruud,11,,C. Ruud (11)
18,Hubert Hurkacz,,,H. Hurkacz
19,Hamad Medjedovic,,,H. Medjedovic
20,Sebastian Ofner,,,S. Ofner
21,Soonwoo Kwon,,Q,S. Kwon (Q)
22,Martin Landaluce,,,M. Landaluce
23,Alexandre Muller,,,A. Muller
24,Tommy Paul,21,,T. Paul (21)
25,Brandon Nakashima,28,,B. Nakashima (28)
26,Jack Pinnington Jones,,WC,J. Pinnington Jones (WC)
27,Jan-Lennard Struff,,,J. Struff
28,Sebastian Baez,,,S. Baez
29,Camilo Ugo Carabelli,,,C. Ugo Carabelli
30,Daniel Merida,,,D. Merida
31,Marin Cilic,,,M. Cilic
32,Daniil Medvedev,8,,D. Medvedev (8)
33,Felix Auger-Aliassime,3,,F. Auger-Aliassime (3)
34,Aleksandr Shevchenko,,,A. Shevchenko
35,Adam Walton,,,A. Walton
36,Dino Prizmic,,,D. Prizmic
37,Adolfo Daniel Vallejo,,,A. Vallejo
38,Nicolas Mejia,,Q,N. Mejia (Q)
39,Michael Zheng,,Q,M. Zheng (Q)
40,Cameron Norrie,26,,C. Norrie (26)
41,Alejandro Davidovich Fokina,22,,A. Davidovich Fokina (22)
42,Juan Manuel Cerundolo,,,J. Cerundolo
43,Thiago Agustin Tirante,,,T. Tirante
44,Fabian Marozsan,,,F. Marozsan
45,Luca Van Assche,,,L. Van Assche
46,Marton Fucsovics,,,M. Fucsovics
47,Dalibor Svrcina,,,D. Svrcina
48,Learner Tien,16,,L. Tien (16)
49,Andrey Rublev,12,,A. Rublev (12)
50,Roman Safiullin,,Q,R. Safiullin (Q)
51,Aleksandar Kovacevic,,,A. Kovacevic
52,Botic Van de Zandschulp,,,B. Van de Zandschulp
53,Jesper De Jong,,,J. De Jong
54,Rinky Hijikata,,,R. Hijikata
55,Roberto Bautista Agut,,,R. Bautista Agut
56,Joao Fonseca,24,,J. Fonseca (24)
57,Arthur Rinderknech,25,,A. Rinderknech (25)
58,Oliver Tarvet,,Q,O. Tarvet (Q)
59,Marco Trungelliti,,,M. Trungelliti
60,Martin Damm Jr,,,M. Damm Jr
61,Hugo Gaston,,Q,H. Gaston (Q)
62,Stefanos Tsitsipas,,,S. Tsitsipas
63,Yibing Wu,,,Y. Wu
64,Novak Djokovic,7,,N. Djokovic (7)
65,Alex de Minaur,5,,A. de Minaur (5)
66,Roman Andres Burruchaga,,,R. Burruchaga
67,Adrian Mannarino,,,A. Mannarino
68,Titouan Droguet,,,T. Droguet
