player_name,player_name_norm,charted_service_points,service_points_won,serve_points_won_pct,serve_points_won_pct_shrunk,charted_return_points,return_points_won,return_points_won_pct,return_points_won_pct_shrunk,serve_strength_index,return_strength_index,serve_return_balance,total_charted_points,charted_matches
Novak Djokovic,novak djokovic,39929,26974,0.6755490996518821,0.6751410769942732,42044,17178,0.40857197221957947,0.4079710746097812,0.032583873391338725,0.05052827821271566,0.08311215160405439,81973,480
Roger Federer,roger federer,29827,20821,0.698058805779998,0.6971437531507063,32230,12342,0.38293515358361774,0.38254571946833277,0.05458654954777187,0.025102923071267214,0.07968947261903908,62057,358
Hubert Hurkacz,hubert hurkacz,26705,18239,0.6829807152218685,0.6822377725345145,27318,9409,0.3444249212973131,0.344658904241805,0.03968056893158001,-0.012783892155260546,0.02689667677631946,54023,320
Rafael Nadal,rafael nadal,25116,16777,0.6679805701544832,0.6674843301765094,26397,10661,0.40387165208167597,0.4030085659441028,0.024927126573574987,0.04556576954703723,0.07049289612061221,51513,313
Jannik Sinner,jannik sinner,23091,15722,0.6808713351522238,0.6800592853970355,24648,10029,0.4068889970788705,0.4059058930411378,0.03750208179410108,0.04846309664407222,0.0859651784381733,47739,297
Daniil Medvedev,daniil medvedev,22422,14819,0.6609133886361609,0.6605129832388739,23112,9107,0.39403772931810316,0.39326280697096955,0.017955779635939417,0.03582001057390399,0.05377579020984341,45534,284
Carlos Alcaraz,carlos alcaraz,17689,11770,0.6653852676804793,0.6647577437902835,19260,7930,0.4117341640706127,0.41036039464567475,0.02220054018734907,0.0529175982486092,0.07511813843595827,36949,221
Andy Murray,andy murray,17870,11425,0.6393396754336877,0.6394272510507059,18103,6919,0.38220184499806664,0.3815363865074737,-0.0031299525522285876,0.024093590110408125,0.020963637558179538,35973,207
Stefanos Tsitsipas,stefanos tsitsipas,16769,11279,0.6726101735344981,0.6717400313742236,16414,5550,0.33812599000852933,0.3386970201134287,0.02918282777128911,-0.018745776283636828,0.010437051487652282,33183,200
Alexander Zverev,alexander zverev,15666,10385,0.6629005489595302,0.662271347383488,16228,5842,0.35999507024895244,0.35991878277131356,0.019714143780553584,0.002475986374248007,0.02219013015480159,31894,195
