round,round_index,player_1,player_2,pick_id,pick_name,win_prob,expected_points,bracket_name,tournament,year,champion_prob_rank,constrained_champion_id,constrained_champion_name,constrained_champion_prob,optimized_expected_score,points_possible
R128,0,Jannik Sinner,Miomir Kecmanovic,S0AG,Jannik Sinner,0.9330984008384796,9.330984008384796,Wimbledon_2026_top_1_champion,Wimbledon,2026,1,S0AG,Jannik Sinner,0.38125837492971254,2086.8469798692545,10
R128,1,Nuno Borges,Tristan Boyer,BT72,Nuno Borges,0.6746320425193917,6.746320425193916,Wimbledon_2026_top_1_champion,Wimbledon,2026,1,S0AG,Jannik Sinner,0.38125837492971254,2086.8469798692545,10
R64,0,Jannik Sinner,Nuno Borges,S0AG,Jannik Sinner,0.871544573876759,17.43089147753518,Wimbledon_2026_top_1_champion,Wimbledon,2026,1,S0AG,Jannik Sinner,0.38125837492971254,2086.8469798692545,20
R128,2,Aleksandar Vukic,Jenson Brooksby,B0CD,Jenson Brooksby,0.576615474430927,5.7661547443092696,Wimbledon_2026_top_1_champion,Wimbledon,2026,1,S0AG,Jannik Sinner,0.38125837492971254,2086.8469798692545,10
R128,3,Emilio Nava,Ignacio Buse,B0ID,Ignacio Buse,0.6615279513360912,6.615279513360912,Wimbledon_2026_top_1_champion,Wimbledon,2026,1,S0AG,Jannik Sinner,0.38125837492971254,2086.8469798692545,10
R64,1,Jenson Brooksby,Ignacio Buse,B0ID,Ignacio Buse,0.3655134578041396,7.310269156082791,Wimbledon_2026_top_1_champion,Wimbledon,2026,1,S0AG,Jannik Sinner,0.38125837492971254,2086.8469798692545,20
R32,0,Jannik Sinner,Ignacio Buse,S0AG,Jannik Sinner,0.819708617106835,32.7883446842734,Wimbledon_2026_top_1_champion,Wimbledon,2026,1,S0AG,Jannik Sinner,0.38125837492971254,2086.8469798692545,40
R128,4,Rafael Jodar,Felix Gill,J0DZ,Rafael Jodar,0.7062176855951886,7.062176855951886,Wimbledon_2026_top_1_champion,Wimbledon,2026,1,S0AG,Jannik Sinner,0.38125837492971254,2086.8469798692545,10
R128,5,Denis Shapovalov,Pablo Carreno Busta,SU55,Denis Shapovalov,0.5370965834276598,5.370965834276598,Wimbledon_2026_top_1_champion,Wimbledon,2026,1,S0AG,Jannik Sinner,0.38125837492971254,2086.8469798692545,10
R64,2,Rafael Jodar,Denis Shapovalov,J0DZ,Rafael Jodar,0.38338292995951756,7.667658599190351,Wimbledon_2026_top_1_champion,Wimbledon,2026,1,S0AG,Jannik Sinner,0.38125837492971254,2086.8469798692545,20
R128,6,Shintaro Mochizuki,Max Basing,M0HU,Shintaro Mochizuki,0.5369391977819372,5.369391977819372,Wimbledon_2026_top_1_champion,Wimbledon,2026,1,S0AG,Jannik Sinner,0.38125837492971254,2086.8469798692545,10
R128,7,Ethan Quinn,Luciano Darderi,D0FJ,Luciano Darderi,0.6573694073140196,6.573694073140196,Wimbledon_2026_top_1_champion,Wimbledon,2026,1,S0AG,Jannik Sinner,0.38125837492971254,2086.8469798692545,10
